2rfb_1_10,2rfb_1_3,2rfb_1_4,2rfb_1_5,2rfb_1_6,2rfb_1_7,2rfb_1_8,2rfb_1_9,2rfb_2_10,2rfb_2_3,2rfb_2_4,2rfb_2_5,2rfb_2_6,2rfb_2_7,2rfb_2_8,2rfb_2_9,2rfb_3_10,2rfb_3_3,2rfb_3_4,2rfb_3_5,2rfb_3_6,2rfb_3_9,3s79_1_10,3s79_1_3,3s79_1_4,3s79_1_5,3s79_1_6,3s79_1_7,3s79_1_8,3s79_1_9,3s79_2_10,3s79_2_3,3s79_2_4,3s79_2_5,3s79_2_6,3s79_2_7,3s79_2_8,3s79_2_9,3s79_3_10,3s79_3_3,3s79_3_4,3s79_3_5,3s79_3_6,3s79_3_7,3s79_3_8,3s79_3_9,4e2p_1_10,4e2p_1_11,4e2p_1_3,4e2p_1_4,4e2p_1_5,4e2p_1_6,4e2p_1_7,4e2p_1_8,4e2p_1_9,4e2p_3_10,4e2p_3_3,4e2p_3_4,4e2p_3_5,4e2p_3_6,4e2p_3_7,4e2p_3_8,4e2p_3_9,4ubs_1_10,4ubs_1_11,4ubs_1_4,4ubs_1_5,4ubs_1_6,4ubs_1_7,4ubs_1_8,4ubs_1_9,4ubs_2_11,4ubs_2_12,4ubs_2_3,4ubs_2_4,4ubs_2_5,4ubs_2_6,4ubs_2_7,4ubs_2_8,4ubs_2_9,4ubs_3_10,4ubs_3_3,4ubs_3_4,4ubs_3_5,4ubs_3_6,4ubs_3_7,4ubs_3_8,4ubs_3_9,6a17_1_10,6a17_1_11,6a17_1_12,6a17_1_3,6a17_1_4,6a17_1_5,6a17_1_6,6a17_1_7,6a17_1_8,6a17_1_9,6a17_2_10,6a17_2_3,6a17_2_4,6a17_2_5,6a17_2_6,6a17_2_7,6a17_2_8,6a17_2_9,6a17_3_10,6a17_3_3,6a17_3_4,6a17_3_5,6a17_3_6,6a17_3_7,6a17_3_8,6a17_3_9
0,0.043293902,0.05270077,0.072001751,0.03073876,0.029031832,0.067229161,0.068223507,0.076827168,0.078205725,0.1117428,0.111719072,0.070677173,0.119612262,0.082282211,0.081702338,0.057894314,0.051683488,0.042364866,0.063097666,0.036848573,0.041610475,0.105582496,0.101629336,0.063224159,0.082800467,0.086470013,0.10708264,0.10409208,0.099440735,0.072441237,0.084427343,0.04380536,0.060269391,0.048219526,0.094041824,0.085287915,0.059006067,0.11002283,0.10288978,0.11825809,0.154817103,0.069892472,0.094502546,0.109325496,0.115303525,0.1052584,0.046867162,0.089548946,0.055174758,0.077014542,0.055666785,0.060506954,0.106134347,0.090783156,0.060281185,0.052036418,0.042797637,0.063859912,0.104271325,0.077365387,0.053423561,0.053979383,0.128942388,0.080768441,0.099359174,0.089570381,0.16075594,0.144743517,0.082095984,0.074524422,0.093906966,0.063506605,0.07757818,0.107456816,0.08019186,0.081150342,0.074957815,0.090987267,0.105961843,0.060898141,0.078184569,0.055506906,0.081307373,0.040294452,0.072435659,0.069309741,0.079481409,0.095001646,0.099503351,0.111775703,0.055438964,0.072930072,0.040449401,0.036627201,0.064433278,0.076276268,0.058309337,0.052754252,0.068075653,0.064288442,0.046322701,0.041008432,0.034757192,0.03469475,0.062721522,0.099356923,0.046855641,0.031735425,0.061049912,0.054316048,0.036344923,0.095564049,0.081630851
0.043293902,0,0.042646981,0.06774985,0.029260619,0.032138532,0.046258244,0.058696442,0.106743106,0.097298148,0.139201886,0.147197623,0.102230495,0.135114874,0.097941697,0.093807439,0.063261872,0.079610225,0.072156303,0.029237559,0.030389838,0.042508113,0.091340393,0.101142388,0.04593474,0.078234115,0.077526522,0.089317821,0.098947058,0.106324778,0.05502625,0.080731984,0.065303739,0.050557436,0.045161572,0.068235516,0.071389432,0.06700541,0.129977656,0.138723135,0.136883637,0.159841994,0.079841016,0.093579593,0.134831546,0.137190942,0.12378366,0.059874629,0.128977995,0.09273721,0.087708413,0.076329096,0.083087967,0.138286539,0.107801224,0.093195792,0.079616933,0.058162725,0.067582284,0.098541497,0.092726039,0.054584915,0.079469585,0.109793633,0.068532893,0.112871921,0.107200969,0.141442114,0.154515356,0.108870305,0.095456065,0.137013824,0.082102571,0.097494289,0.137100435,0.085609348,0.109885528,0.105689381,0.078011191,0.136408262,0.064182834,0.105076565,0.080029556,0.095038682,0.046292137,0.068291534,0.071838057,0.080323743,0.069191416,0.065576329,0.067577444,0.042863605,0.069421438,0.036932441,0.022109673,0.062057,0.058033033,0.041893347,0.049748862,0.079542523,0.071706802,0.073466043,0.056676482,0.056100717,0.048199925,0.070855274,0.107333302,0.033815172,0.051231598,0.064380611,0.03343934,0.052983927,0.077202209,0.066550099
0.05270077,0.042646981,0,0.031717592,0.036341829,0.032357118,0.092026165,0.071346237,0.05760865,0.062286453,0.08204847,0.082920639,0.055994105,0.080623422,0.054126219,0.055911251,0.034128468,0.052103879,0.052676982,0.042879561,0.033087155,0.037751807,0.0617532,0.048056551,0.026243503,0.048639686,0.050663225,0.054030631,0.046753945,0.041469933,0.068287793,0.057061401,0.049472784,0.048805069,0.044976617,0.087845719,0.101632398,0.043660627,0.060614619,0.080564757,0.075578969,0.082663542,0.039166014,0.057249339,0.065677857,0.074932231,0.055739823,0.030011203,0.06806675,0.051299467,0.037933695,0.031869247,0.038216731,0.065802197,0.045293642,0.044563629,0.042697369,0.035838451,0.049567824,0.064308562,0.040201936,0.022695492,0.033504325,0.077813803,0.044126418,0.044254204,0.057214491,0.101491421,0.090109289,0.05799098,0.053181282,0.087744592,0.05484977,0.061652586,0.095729993,0.068087011,0.068151996,0.064717259,0.058043145,0.096882373,0.046379196,0.07207649,0.052080475,0.049581267,0.050939772,0.041375723,0.057764727,0.057110831,0.067873178,0.067935488,0.087396813,0.034149616,0.048322773,0.019438611,0.033627115,0.054012272,0.057022862,0.054612143,0.051545626,0.026251472,0.036697955,0.038745333,0.030520324,0.030959854,0.034020124,0.032289751,0.044496391,0.054539336,0.034639107,0.028756715,0.046530051,0.03343632,0.051845982,0.044705826
0.072001751,0.06774985,0.031717592,0,0.047451088,0.057447894,0.118337801,0.087975883,0.066557585,0.065345129,0.085844021,0.082886127,0.052148072,0.083908412,0.063535554,0.05568897,0.023985815,0.045916646,0.052148686,0.055879343,0.045934652,0.03374861,0.072686644,0.040092382,0.041639098,0.074418624,0.080952101,0.068834951,0.061398915,0.053654622,0.095541095,0.06039856,0.053703932,0.066123834,0.068651059,0.104373747,0.123692426,0.080743765,0.04625594,0.070493937,0.068234699,0.072596523,0.040392348,0.075890232,0.055084102,0.060479908,0.046468092,0.031415341,0.046503041,0.034140865,0.038541791,0.031776464,0.036253443,0.047163403,0.043016778,0.035775668,0.030606954,0.028636296,0.036364933,0.058881706,0.034872003,0.023632423,0.030554083,0.074273983,0.058782375,0.039068544,0.054768509,0.086007675,0.075582147,0.056052577,0.068152187,0.086042995,0.055841192,0.06150744,0.102139039,0.076667023,0.072540353,0.067862252,0.059839095,0.079481597,0.044472091,0.07158746,0.050465786,0.045642721,0.056346892,0.040559258,0.057481961,0.048653838,0.092873971,0.089555866,0.105742455,0.055918915,0.057945444,0.034611422,0.048444881,0.080059666,0.076153667,0.069239018,0.062859287,0.029081913,0.052664251,0.037986772,0.043932324,0.049245533,0.049463756,0.038450035,0.036366863,0.073254559,0.032531082,0.032964173,0.069069026,0.032350944,0.049900408,0.048947115
0.03073876,0.029260619,0.036341829,0.047451088,0,0.02702414,0.063582316,0.064849161,0.085845446,0.084176433,0.114935787,0.120234375,0.070894579,0.118457213,0.079195774,0.073863688,0.048852322,0.041143404,0.041924445,0.038275239,0.028821853,0.035240446,0.08926038,0.082797855,0.041589369,0.084128012,0.077276952,0.089248137,0.093386692,0.092022759,0.065294177,0.069955163,0.04021159,0.051261772,0.049395475,0.076850974,0.078597672,0.062406728,0.097940024,0.105868763,0.111360254,0.14094866,0.065487468,0.104686934,0.10778552,0.112960073,0.094058025,0.042801588,0.091110475,0.057797594,0.071074423,0.05253749,0.062568588,0.096008442,0.082568045,0.055391139,0.045793455,0.03578725,0.050066747,0.088868714,0.068732159,0.039602874,0.047014444,0.099422005,0.061391449,0.080005292,0.077793642,0.128605583,0.12850293,0.075352096,0.076450836,0.097294238,0.061266724,0.066777331,0.113331993,0.071100913,0.076166077,0.07095363,0.069197979,0.101655237,0.042021172,0.075030035,0.050957489,0.066596257,0.030756781,0.055289732,0.053836488,0.066539395,0.086827262,0.08635293,0.092735634,0.051531407,0.067500371,0.031590461,0.022314555,0.067101843,0.072756572,0.052811378,0.04305145,0.062459652,0.060508119,0.045123458,0.042525706,0.037350155,0.034216443,0.048969769,0.082069916,0.040129474,0.029931322,0.053975853,0.046732654,0.033152178,0.07757485,0.065715908
0.029031832,0.032138532,0.032357118,0.057447894,0.02702414,0,0.055245262,0.05169732,0.070780643,0.072840651,0.10391155,0.108106115,0.068672338,0.10501139,0.073820497,0.065308663,0.047024843,0.056854417,0.055723111,0.03746153,0.027282161,0.037287111,0.076961246,0.077761339,0.034176886,0.053532152,0.051001408,0.071988172,0.072508284,0.071442447,0.043919727,0.06205114,0.039071223,0.039491908,0.039409798,0.059513494,0.064536635,0.046339642,0.096842837,0.101803283,0.105633223,0.129851512,0.05491105,0.071411772,0.100676419,0.104051751,0.08724537,0.041348219,0.092947102,0.068616126,0.061274638,0.052825585,0.057396232,0.100216426,0.076458603,0.063613738,0.055218136,0.043906394,0.055202121,0.080066122,0.064423727,0.043752592,0.055553275,0.092847493,0.048599755,0.077845654,0.071302112,0.123912868,0.123191312,0.069259226,0.061595779,0.090375995,0.053535155,0.066892094,0.095730981,0.066703803,0.075206225,0.071706895,0.05194403,0.103187543,0.041644278,0.067738228,0.051254446,0.066780215,0.03493379,0.052243775,0.047911469,0.060297688,0.066107047,0.067323527,0.075623098,0.033107398,0.053898223,0.023459086,0.02159962,0.04773259,0.049975983,0.04213475,0.041367057,0.054045536,0.053859268,0.051781178,0.037871767,0.036005451,0.02719857,0.049378807,0.08149211,0.038455346,0.036998867,0.046978585,0.038622877,0.037515506,0.065734903,0.054477883
0.067229161,0.046258244,0.092026165,0.118337801,0.063582316,0.055245262,0,0.033809259,0.118695165,0.096995529,0.158623441,0.181143166,0.122760338,0.142983644,0.102201866,0.099389156,0.096779683,0.096986685,0.099234503,0.064479634,0.056333513,0.077611913,0.081124016,0.131490018,0.067980937,0.076880498,0.078016151,0.088740401,0.112209008,0.138293631,0.038206846,0.088420969,0.092480342,0.045895308,0.043850137,0.04308811,0.044299966,0.075883142,0.170827769,0.169422031,0.16889634,0.204039965,0.095908316,0.102845042,0.171119561,0.178179677,0.162874025,0.095589434,0.167330274,0.141706888,0.113603962,0.125273262,0.127045084,0.185392205,0.141519497,0.123194065,0.12588953,0.086774916,0.08311924,0.10865229,0.119181419,0.103373591,0.117746004,0.131692821,0.072813309,0.150526455,0.137292546,0.16372522,0.19717618,0.145966896,0.136993266,0.182770014,0.126198442,0.142131187,0.16479692,0.1019935,0.133999567,0.134073927,0.115831828,0.175623938,0.098864825,0.124351021,0.100086736,0.113713127,0.061063247,0.087198742,0.105109579,0.112953558,0.052069344,0.047663656,0.041777248,0.048294873,0.063104892,0.068989526,0.043240911,0.053793484,0.052454581,0.029891701,0.037301158,0.110817134,0.077996126,0.103383438,0.075722134,0.073821085,0.060000567,0.086258279,0.148369699,0.049301371,0.079235567,0.100837402,0.042139561,0.084205157,0.085693692,0.078172922
0.068223507,0.058696442,0.071346237,0.087975883,0.064849161,0.05169732,0.033809259,0,0.073302601,0.050395011,0.101609021,0.12291261,0.081060794,0.086774548,0.059663577,0.057280595,0.063064439,0.070813308,0.068961203,0.066724283,0.044363127,0.059212611,0.046555649,0.085583196,0.049576039,0.053686399,0.052915018,0.058190094,0.075048213,0.09456077,0.036775283,0.057303239,0.073656284,0.026506895,0.036507396,0.036093129,0.047079027,0.062641027,0.11796329,0.115953465,0.116674358,0.14746431,0.06264074,0.071184505,0.117380605,0.129068357,0.112507376,0.065637639,0.114903453,0.105446528,0.07088581,0.090866012,0.093271823,0.132029316,0.096393959,0.086622743,0.093212849,0.062118635,0.046928505,0.061215188,0.073538345,0.079669677,0.084027333,0.08600994,0.041473203,0.103442656,0.093510305,0.112498055,0.137953586,0.101116354,0.099451434,0.142147165,0.091644213,0.101137312,0.118241071,0.069984605,0.092262189,0.095470529,0.085958661,0.127214284,0.07601744,0.08716393,0.067280082,0.072810072,0.051669773,0.059438792,0.080012647,0.0801295,0.039525223,0.044237369,0.04822718,0.040012047,0.034992949,0.054377353,0.044502611,0.041349261,0.042895659,0.032366301,0.026370431,0.08016388,0.051151563,0.08281086,0.058945938,0.052968123,0.045902676,0.057646713,0.100923001,0.051618108,0.06514592,0.074876124,0.045496143,0.067697779,0.052943228,0.058078682
0.076827168,0.106743106,0.05760865,0.066557585,0.085845446,0.070780643,0.118695165,0.073302601,0,0.022979303,0.051669844,0.062043747,0.04518898,0.042915567,0.025829384,0.03374155,0.041611227,0.050359561,0.055349493,0.095112152,0.062847385,0.064797949,0.051474017,0.044380994,0.05623783,0.042286549,0.050780551,0.05984298,0.038955902,0.040412569,0.093304174,0.061020884,0.062431476,0.066622102,0.054760109,0.107525468,0.114467326,0.04759933,0.046676387,0.044832245,0.051130646,0.057653555,0.022799602,0.035877826,0.031194514,0.045968475,0.043066552,0.035358926,0.055467224,0.067263875,0.027890628,0.0363294,0.033372471,0.054539707,0.028287217,0.046243929,0.06604363,0.059727299,0.054984675,0.049170807,0.031641774,0.052366018,0.044211298,0.086120812,0.051557592,0.054480301,0.056159175,0.098855733,0.087204159,0.057421807,0.058149595,0.084770863,0.064472969,0.064706241,0.080305321,0.074844833,0.06562564,0.045561371,0.082292176,0.098217283,0.072481011,0.063427466,0.043755579,0.037130256,0.079693619,0.057827348,0.088190554,0.085465712,0.069711126,0.090863908,0.113912133,0.048797434,0.034394857,0.050134419,0.075456208,0.044975231,0.062757863,0.065633681,0.060797228,0.039393625,0.03977551,0.039967186,0.037547507,0.051491318,0.051745193,0.038994883,0.04471182,0.074673661,0.051199054,0.058619355,0.067264453,0.045270503,0.044002561,0.04874222
0.078205725,0.097298148,0.062286453,0.065345129,0.084176433,0.072840651,0.096995529,0.050395011,0.022979303,0,0.037645099,0.049368759,0.041009576,0.030388304,0.020532844,0.020775078,0.043021323,0.049666162,0.050042369,0.091234585,0.055138682,0.060742542,0.033007518,0.039719446,0.051983088,0.036551103,0.041654056,0.048191344,0.040131361,0.04657424,0.0740996,0.039297343,0.057310978,0.046897385,0.045511754,0.085361446,0.092629886,0.04701379,0.054884609,0.047324393,0.053338945,0.073370411,0.032342567,0.044115867,0.045802314,0.055341788,0.051475691,0.041105255,0.057449,0.070857374,0.03061504,0.04982142,0.045825221,0.063167511,0.037384813,0.046128249,0.071813439,0.051855953,0.037309695,0.033100623,0.032587797,0.061718862,0.051937313,0.065337977,0.039768717,0.059961988,0.05107956,0.082964504,0.07675183,0.055227049,0.057919048,0.086225668,0.058548039,0.065364491,0.066379551,0.0535963,0.05846944,0.047611058,0.07831933,0.080804731,0.072000484,0.051122987,0.038180011,0.036741597,0.069303131,0.047458655,0.076866476,0.067593465,0.055714931,0.073808729,0.092819295,0.046905402,0.024538844,0.050228872,0.071149974,0.039379585,0.050631012,0.05553739,0.04333181,0.044655899,0.028374419,0.050921113,0.037015828,0.042612067,0.044796581,0.039847605,0.050229588,0.073682683,0.056242642,0.060972829,0.065022175,0.050781362,0.033751041,0.047610378
